Price,Close,High,Low,Open,Volume
Ticker,EWZ,EWZ,EWZ,EWZ,EWZ
Date,,,,,
2010-01-04,38.44190216064453,38.55644384966876,37.84926119709239,37.96878411594182,12115900
2010-01-05,38.48671340942383,38.800466227155994,38.16798316252061,38.54647675555478,12605000
2010-01-06,38.7407112121582,38.989719508572975,38.317397868166104,38.43193955676046,11989600
2010-01-07,38.31241226196289,38.56640175917116,38.098264999525455,38.49667974810452,9750900
2010-01-08,38.58134078979492,38.82536782310432,38.347272415174565,38.541498555909634,9772600
2010-01-11,38.48671340942383,38.91500789111832,38.10324238721861,38.84528588708101,10018500
2010-01-12,37.90403366088867,38.39706890003732,37.600243311624325,37.829330430820306,15398800
2010-01-13,37.794471740722656,38.382131360523545,37.356218590192846,38.30245069659282,18802600
2010-01-14,37.0922737121582,37.754632825209576,36.99764935333743,37.58032779545921,19433900
2010-01-15,36.6241455078125,37.22674520841557,36.3850958400165,37.18690296385531,21758900
2010-01-19,37.16199493408203,37.29147649653572,36.708798066800306,36.73370041319157,12202000
2010-01-20,36.086273193359375,36.50958643568103,35.46375260183807,36.49464654941478,21743300
2010-01-21,34.42787551879883,36.016549196230066,34.32827374949771,35.82232308639812,31602000
2010-01-22,33.850181579589844,34.572303973386404,33.60615456231273,34.08424993883218,26948300
2010-01-25,33.8153190612793,34.48764053563517,33.521487368307035,34.3780763043426,17155200
2010-01-26,33.282447814941406,33.93484829656667,32.963717518608085,33.31730882236646,21053800
2010-01-27,33.13802719116211,33.26751257952427,32.460724266819796,32.96869956029384,26161600
2010-01-28,33.048377990722656,33.476672520284744,32.381033849484055,33.41192793818242,22456200
2010-01-29,32.2166862487793,33.61611129574924,32.032418789389155,33.372084292443226,26721800
2010-02-01,33.66592025756836,33.730664845092804,32.595183843992864,32.6649058616615,19448900
2010-02-02,34.218711853027344,34.368118316714074,33.61611236873549,34.029466958646466,19502700
2010-02-03,33.74559783935547,34.19381343247271,33.64599226334929,34.009545966534446,15321400
2010-02-04,31.733612060546875,33.0782550937981,31.629027151473093,33.028454203597015,32291900
2010-02-05,31.71867561340332,31.813299980410168,30.3043084360711,31.59417146715852,38632400
2010-02-08,31.29535484313965,32.18680287469032,31.195751169844126,31.589184634481303,22577800
2010-02-09,32.555335998535156,33.17287531926883,32.18680109783902,32.390989661702875,33275200
2010-02-10,32.535423278808594,32.92387559367313,32.122068615733816,32.75454798488623,22129400
2010-02-11,33.33223342895508,33.53144072272081,32.23659901258818,32.60014880911478,24164000
2010-02-12,33.18283462524414,33.29738008030923,32.38600906684777,32.55035540689439,19550500
2010-02-16,34.03445053100586,34.24859780784305,33.561336309874,33.78046481628365,16904400
2010-02-17,34.12906265258789,34.48763506188349,33.81531369423601,34.39799195955959,21792000
2010-02-18,34.771507263183594,34.88605271478957,33.979662957067134,33.979662957067134,20770300
2010-02-19,34.73665237426758,35.02052163953708,34.35318132452492,34.39301975857547,19053300
2010-02-22,34.44282531738281,34.985661515685706,34.32827984274722,34.985661515685706,17408200
2010-02-23,33.53144454956055,34.28842779278677,33.252552786634226,34.10914158789254,20879800
2010-02-24,33.536434173583984,33.939830181075976,33.272485998048246,33.695803124391134,17222100
